ID,Year,Month,Day,Hour,Minute,Second,Millisecond,Brightness,Temperature,Humidity,x Accel,y Accel,z Accel,x Gyro,y Gyro,z Gyro
0,2017,11,28,1,29,18,1382,912.0,0.0,0.0,5884.0,19160.0,-96.0,-330.0,76.0,167.0
1,2017,11,28,1,29,19,2601,913.0,0.0,0.0,5736.0,19220.0,100.0,-373.0,98.0,75.0
2,2017,11,28,1,29,20,3209,914.0,0.0,0.0,5748.0,19132.0,220.0,-360.0,88.0,68.0
3,2017,11,28,1,29,20,3813,913.0,0.0,0.0,5784.0,19160.0,88.0,-359.0,88.0,68.0
4,2017,11,28,1,29,21,4416,914.0,0.0,0.0,5716.0,19268.0,112.0,-328.0,55.0,70.0
5,2017,11,28,1,29,22,5026,914.0,0.0,0.0,5728.0,19192.0,-40.0,-378.0,63.0,68.0
6,2017,11,28,1,29,22,5639,913.0,0.0,0.0,5868.0,19080.0,116.0,-227.0,23.0,-4.0
7,2017,11,28,1,29,23,6250,911.0,0.0,0.0,6976.0,18364.0,368.0,-730.0,1356.0,580.0
8,2017,11,28,1,29,23,6856,912.0,0.0,0.0,6260.0,19664.0,1892.0,1715.0,5859.0,1900.0
9,2017,11,28,1,29,24,7470,912.0,0.0,0.0,5464.0,18732.0,-524.0,619.0,598.0,1135.0
10,2017,11,28,1,29,25,8073,910.0,0.0,0.0,7484.0,16792.0,252.0,-1653.0,-297.0,2305.0
11,2017,11,28,1,29,25,8677,907.0,0.0,0.0,6348.0,18812.0,-892.0,-567.0,238.0,28.0
12,2017,11,28,1,29,26,9284,908.0,0.0,0.0,5828.0,19048.0,-644.0,-308.0,70.0,39.0
13,2017,11,28,1,29,27,9891,909.0,0.0,0.0,5792.0,19156.0,-428.0,-397.0,113.0,92.0
14,2017,11,28,1,29,27,10503,909.0,0.0,0.0,5804.0,19136.0,-544.0,-367.0,74.0,94.0
15,2017,11,28,1,29,28,11111,909.0,0.0,0.0,5840.0,19080.0,-572.0,-384.0,108.0,56.0
16,2017,11,28,1,29,28,11719,910.0,0.0,0.0,5840.0,19056.0,-664.0,-349.0,88.0,92.0
17,2017,11,28,1,29,29,12328,909.0,0.0,0.0,5884.0,19116.0,-520.0,-380.0,84.0,62.0
18,2017,11,28,1,29,30,12937,909.0,0.0,0.0,5808.0,19080.0,-560.0,-381.0,80.0,18.0
19,2017,11,28,1,29,30,13547,910.0,0.0,0.0,5788.0,19180.0,-660.0,-354.0,80.0,57.0
20,2017,11,28,1,29,31,14154,909.0,0.0,0.0,5780.0,19100.0,-488.0,-334.0,92.0,31.0
21,2017,11,28,1,29,31,14761,909.0,0.0,0.0,5816.0,19172.0,-644.0,-346.0,70.0,101.0
22,2017,11,28,1,29,32,15367,909.0,0.0,0.0,5788.0,19124.0,-660.0,-343.0,75.0,39.0
23,2017,11,28,1,29,33,15979,909.0,0.0,0.0,5800.0,19056.0,-532.0,-399.0,84.0,65.0
24,2017,11,28,1,29,33,16586,909.0,0.0,0.0,5832.0,19220.0,-500.0,-353.0,61.0,65.0
25,2017,11,28,1,29,34,17196,908.0,0.0,0.0,5796.0,19020.0,-260.0,48.0,-132.0,-412.0
26,2017,11,28,1,29,34,17807,910.0,0.0,0.0,5608.0,19228.0,-800.0,-291.0,67.0,42.0
27,2017,11,28,1,29,35,18416,913.0,0.0,0.0,5800.0,19436.0,-5760.0,1914.0,9364.0,-19165.0
28,2017,11,28,1,29,36,19028,840.0,0.0,0.0,2232.0,17100.0,9976.0,4680.0,-15853.0,-12065.0
29,2017,11,28,1,29,36,19638,786.0,0.0,0.0,960.0,14144.0,-1180.0,10312.0,-3644.0,-3221.0
30,2017,11,28,1,29,37,20248,699.0,0.0,0.0,1740.0,19920.0,-16.0,3357.0,-393.0,-2960.0
31,2017,11,28,1,29,37,20863,576.0,0.0,0.0,-5420.0,21148.0,548.0,-32768.0,3039.0,32767.0
32,2017,11,28,1,29,38,21467,744.0,0.0,0.0,4216.0,19096.0,236.0,-762.0,-819.0,-5746.0
33,2017,11,28,1,29,39,22078,809.0,0.0,0.0,6120.0,18592.0,564.0,-1072.0,137.0,1192.0
